"analysis_date","data_identifier","replicate_no","integration_time_s","dilution","RSU_area_1s"
"2022-11-04","2022_11_04_preTea221104",1,5,1,1502.57538
"2022-11-04","2022_11_04_postTea221104",1,5,1,1502.57538
"2022-11-05","2022_11_05_preTea221105",1,5,1,1518.87885
"2022-11-05","2022_11_05_postTea221105",1,5,1,1518.87885
"2022-11-07","2022_11_07_preTea221107",1,5,1,1609.87435
"2022-11-07","2022_11_07_postTea221107",1,5,1,1609.87435
"2022-11-08","2022_11_08_preTea221108",1,5,1,1474.8708
"2022-11-10","2022_11_10_preTea221110",1,5,1,1466.57186
"2022-11-10","2022_11_10_postTea221110",1,5,1,1466.57186
"2022-11-10","2022_11_10b_preTea221110",1,5,1,1467.69901
"2022-11-10","2022_11_10b_postTea221110",1,5,1,1467.69901
"2022-11-11","2022_11_11_preTea221111",1,5,1,1451.43453
"2022-11-11","2022_11_11_postTea221111",1,5,1,1451.43453
"2022-11-11","2022_11_11b_preTea221111",1,5,1,1439.04874
"2022-11-11","2022_11_11b_postTea221111",1,5,1,1439.04874
"2023-01-02","2023_01_02_preTea230102",1,5,1,1539.50963
"2023-01-02","2023_01_02_postTea230102",1,5,1,1539.50963
"2023-01-06","2023_01_06_preTea230106",1,5,1,1499.25617
"2023-01-06","2023_01_06_postTea230106",1,5,1,1499.25617
"2023-01-09","2023_01_09_preTea230109",1,5,1,1505.24547
"2023-01-09","2023_01_09_postTea230109",1,5,1,1505.24547
"2023-02-16","2023_02_16_preTea230216",1,5,1,1413.85833
"2023-02-16","2023_02_16_postTea230216",1,5,1,1413.85833
"2023-02-23","2023_02_23_preTea230223",1,5,1,1674.38724
"2023-02-23","2023_02_23_postTea230223",1,5,1,1674.38724
"2023-02-28","2023_02_28_preTea230228",1,5,1,1549.21074
"2023-02-28","2023_02_28_postTea230228",1,5,1,1549.21074
"2023-03-03","2023_03_03_preTea230303",1,5,1,1419.21177
"2023-03-03","2023_03_03_postTea230303",1,5,1,1419.21177
"2023-03-08","2023_03_08_preTea230308",1,5,1,1400.61368
"2023-03-08","2023_03_08_postTea230308",1,5,1,1400.61368
"2023-03-14","2023_03_14_preTea230314",1,5,1,1408.43494
"2023-03-14","2023_03_14_postTea230314",1,5,1,1408.43494
"2023-03-15","2023_03_15_preTea230315",1,5,1,1560.56389
