Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.140815861711497	1.62133392162968E-4	0.190530013429353	3.04753874514685E-6	1.29503703117371	0.140653728319335	0.246739476265507	0.570049553675725	2.68001602398836E-4	99.93830938703
782	0.154396369050116		0.211080617290108		1.22961759567261	0.154234235657953	0.259544693818088	0.594249234646475	3.3477891852464E-4	99.9229440086645
764	0.401194494551691		0.551191927729186		1.17875647544861	0.401032361159528	0.64971746171975	0.617241162178446	3.12230338092574E-4	99.9281321451155
746	0.43434254480376		0.601496506995953		1.13894140720367	0.434180411411597	0.685065807137998	0.633779130249506	2.81797310532391E-4	99.9351348179132
728	0.925868326988889		1.26593111310565		1.11222970485687	0.925706193596726	1.40800279873551	0.657460478365581	4.46771904901283E-4	99.8971798633448
710	0.663190078526781		0.917758347162897		1.08147060871124	0.663027945134618	0.9925253825325	0.668021147673679	6.67471877242623E-4	99.8464269648041
692	0.338368888418452		0.490777641776742		1.03860867023468	0.338206755026289	0.509722748706491	0.663511204639281	8.73763574705746E-4	99.7990107562405
674	0.405629450283482		0.590967908557798		1.03543519973755	0.405467316891319	0.611905818907136	0.662630268193042	0.00112536949545581	99.7412095389308
656	0.46864036311764		0.687138148499449		1.02696716785431	0.468478229725477	0.705665188566898	0.663881735014996	0.00126387438404258	99.7094052148006
638	0.567572823507237		0.836444963088395		1.01450133323669	0.567410690115074	0.848571438500174	0.668665788608154	0.00144521153816408	99.6677808188051
620	0.717299655947289		1.06223969363148		1.0109326839447	0.717137522555126	1.07384974361894	0.667819242698076	0.00187214541319773	99.5698503929765
602	0.835370178546791		1.24264346366257		0.985136866569519	0.835208045154628	1.22417088581287	0.68226426133312	0.00229202372051049	99.4736322304874
584	1.02451594561327		1.52585405152018		0.985130906105042	1.0243538122211	1.50316298213351	0.681465565874426	0.00282662106501415	99.3512599112803
566	1.19348576061193		1.77912402792515		0.985598206520081	1.19332362721976	1.75349844745109	0.680538741824605	0.00348532098924545	99.2006868178559
548	1.42117062237304		2.11641409920924		0.98427277803421	1.42100848898088	2.08312578529002	0.68215203278425	0.00431150597163227	99.0121506666007
530	1.71852389572101		2.55065825152682		0.986043810844421	1.71836176232885	2.51505777749056	0.683229537590731	0.00533734300743182	98.7785523334534
512	2.16665830311004		3.1948640692652		0.991071581840515	2.16649616971788	3.16633596656304	0.684228140221499	0.00679837613236041	98.4468044991486
494	3.0989612913281		4.51643138820323		0.998198688030243	3.09879915793594	4.5082928442339	0.68735533937182	0.00848138076877438	98.0660356648767
476	4.59963600456998		6.60989472212332		1.0048736333847	4.59947387117782	6.64210586331911	0.69247223182309	0.0101462574952248	97.6908171866233
458	5.73949406153877		8.07373491646942		1.01754152774811	5.73933192814661	8.2153574605403	0.698610128130584	0.0119006147499366	97.2969855638184
440	3.59983897487357		5.17577125617411		0.996118366718292	3.5996768414814	5.15567777449832	0.698196628828627	0.0139972791220819	96.8283922592276
422	3.99583582875999		5.68265409106277		1.00417006015778	3.99567369536783	5.70634804023116	0.700215561195591	0.0168328685000458	96.1982411179727
404	2.84970727621079		4.24900985606867		0.986246347427368	2.84954514281862	4.19056744510666	0.679990282973742	0.022251251538663	95.0055001171568
386	3.02001620131152		4.5624270374335		1.02432680130005	3.01985406791935	4.6734131717435	0.64617742042969	0.0369873263557217	91.8359395789037
368	3.03807020514563		4.75640967093573		1.09125518798828	3.03790807175346	5.19045340396378	0.58528761079591	0.0619878387608243	86.6986153014288
350	3.30505764792645		5.36759091116935		1.00763487815857	3.30489551453429	5.40856874297484	0.611048074192826	0.0854833096406604	82.1328116666393
332	3.31867832170015		5.53608688705858		0.961043655872345	3.31851618830799	5.32041825234795	0.623732201287653	0.101208950965758	79.212012810335
314	2.59967360533487		4.68486847249113		0.921440601348877	2.59951147194271	4.31682521440668	0.602181312152105	0.123107202730927	75.3169625827019
296	1.73882339637232		3.69266175526438		0.944396495819092	1.73866126298015	3.48733394383195	0.498564602926923	0.17840135586202	66.3129951596784
278	0.59814666814215		1.95734712230578		1.02761805057526	0.597984534749987	2.01140210241713	0.297297359902021	0.319629039738289	47.9039097279426
260	0.35235932308545		1.25860738022476		0.870132803916931	0.352197189693287	1.09515291702208	0.32159635811497	0.30452117121674	49.5996747695241
242	0.150339690103618		0.621140553853494		0.672455251216888	0.150177556711455	0.417687177849116	0.359545527551972	0.293721408745378	50.8485521290632
